,NO,NO2,AirTemp,Press,UMR,O3,PM10
201,13.3,29.95,-0.5,0,90.1,0,21.23
202,9.37,22.77,-0.1,0,86.6,0,21.23
203,9.18,19.75,0.3,0,83.2,0,21.23
204,8.54,17.84,0.7,0,80.5,0,21.23
205,7.95,16.51,1.1,0,77.3,0,21.23
206,6.65,16.33,1.7,0,74.4,0,21.23
207,6.89,20.27,1.1,0,79.3,0,21.23
208,7.68,35.42,0.9,0,82.5,0,21.23
209,9.95,39.09,0.7,0,85.7,0,21.23
210,10.48,42.23,0.8,0,86.5,0,21.23
211,8.43,36.7,0.6,0,86.4,0,21.23
212,5.71,28.95,0.4,0,86.8,0,21.23
213,5.72,27.47,0.4,0,86.7,0,21.23
214,4.23,20.46,0.3,0,87.4,0,21.23
215,3.02,15.05,0.2,0,86.6,0,21.23
216,2.57,12.64,0.1,0,85.9,0,24.71
217,2.29,10.8,0.1,0,85.2,0,24.71
218,1.8,8.16,0.2,0,84.7,0,24.71
219,1.63,7.54,0.2,0,83.8,0,24.71
220,1.57,9.64,0.1,0,83.3,0,24.71
221,1.49,9.53,0.0,0,83.1,0,24.71
222,1.73,14.49,-0.2,0,83.4,0,24.71
223,3.88,28.59,-0.3,0,83.7,0,24.71
224,10.67,37.19,-0.3,0,83.9,0,24.71
225,14.59,34.5,0.5,0,80.7,0,24.71
226,9.51,24.31,0.5,0,80.3,0,24.71
227,6.97,18.58,0.8,0,78.8,0,24.71
228,6.66,19.63,1.4,0,76.5,0,24.71
229,7.82,22.33,1.7,0,74.3,0,24.71
230,7.16,19.56,2.1,0,72.1,0,24.71
231,7.91,24.85,1.7,0,72.6,0,24.71
232,11.05,41.69,1.2,0,75.6,0,24.71
233,15.35,43.93,0.9,0,79.0,0,24.71
234,11.32,42.17,0.7,0,80.0,0,24.71
235,8.0,33.82,0.7,0,79.8,0,24.71
236,5.2,27.12,0.3,0,80.7,0,24.71
237,4.03,23.53,0.0,0,80.6,0,24.71
238,3.38,19.53,-0.3,0,80.0,0,24.71
239,2.84,16.95,-0.7,0,79.8,0,24.71
240,3.22,20.84,-1.0,0,78.8,0,34.15
241,2.39,15.43,-1.4,0,80.6,0,34.15
242,1.61,10.89,-1.4,0,82.1,0,34.15
243,1.3,9.0,-1.3,0,82.9,0,34.15
244,1.07,9.44,-1.5,0,83.6,0,34.15
245,0.9,9.69,-1.5,0,84.2,0,34.15
246,0.98,11.29,-1.5,0,84.9,0,34.15
247,2.59,24.42,-1.3,0,84.6,0,34.15
248,10.19,35.06,-1.1,0,83.9,0,34.15
249,10.75,31.39,-0.8,0,82.1,0,34.15
250,9.25,24.43,0.0,0,78.2,0,34.15
251,7.3,16.39,1.7,0,68.7,0,34.15
252,12.47,23.45,1.3,0,69.9,0,34.15
253,8.49,21.65,2.1,0,66.1,0,34.15
254,6.67,20.79,2.6,0,62.4,0,34.15
255,7.24,32.13,2.0,0,64.3,0,34.15
256,11.45,47.73,1.5,0,67.1,0,34.15
257,29.77,65.09,0.5,0,69.5,0,34.15
258,23.75,62.91,-0.3,0,75.1,0,34.15
259,38.72,67.01,-0.8,0,78.7,0,34.15
260,15.25,50.03,-1.0,0,81.1,0,34.15
261,7.04,36.92,-1.2,0,81.9,0,34.15
262,7.08,35.88,-1.6,0,83.2,0,34.15
263,6.49,28.36,-1.5,0,85.7,0,34.15
264,9.15,25.55,-0.7,0,86.0,0,49.5
265,24.48,39.47,-3.1,0,84.0,0,49.5
266,23.91,41.73,-2.8,0,84.3,0,49.5
267,25.77,25.56,-1.4,0,85.1,0,49.5
268,5.08,15.2,-0.3,0,83.0,0,49.5
269,2.73,9.8,0.2,0,81.3,0,49.5
270,2.4,12.01,0.5,0,80.8,0,49.5
271,3.48,22.81,0.7,0,82.1,0,49.5
272,4.71,27.82,0.9,0,83.3,0,49.5
273,5.07,23.94,1.2,0,84.9,0,49.5
274,5.49,22.27,1.6,0,83.5,0,49.5
275,6.4,20.63,2.0,0,82.2,0,49.5
276,7.5,21.49,2.2,0,81.7,0,49.5
277,7.3,20.55,2.6,0,80.9,0,49.5
278,6.98,19.58,3.0,0,78.2,0,49.5
279,6.12,18.13,2.2,0,80.7,0,49.5
280,8.19,28.9,1.9,0,82.3,0,49.5
281,6.67,34.21,1.6,0,82.6,0,49.5
282,10.33,41.1,1.4,0,83.4,0,49.5
283,7.41,39.11,1.3,0,83.4,0,49.5
284,20.57,45.42,0.8,0,82.1,0,49.5
285,51.48,59.46,0.0,0,82.7,0,49.5
286,196.72,63.61,-1.3,0,84.9,0,49.5
287,162.05,57.3,-1.9,0,89.1,0,49.5
288,57.25,42.73,-2.9,0,92.7,0,55.43
289,44.71,40.27,-3.2,0,94.6,0,55.43
290,27.96,36.52,-2.8,0,95.0,0,55.43
291,11.3,27.36,-3.0,0,95.1,0,55.43
292,14.34,29.54,-3.1,0,95.1,0,55.43
293,21.95,36.57,-2.9,0,95.0,0,55.43
294,73.99,47.05,-3.3,0,95.1,0,55.43
295,105.58,49.84,-3.2,0,94.8,0,55.43
296,128.49,55.96,-3.4,0,94.2,0,55.43
297,90.49,52.57,-1.4,0,89.2,0,55.43
298,99.54,65.55,-1.1,0,85.1,0,55.43
299,88.36,71.3,1.2,0,75.3,0,55.43
300,68.1,76.88,3.3,0,66.0,0,55.43
301,33.68,58.74,4.2,0,63.9,0,55.43
302,30.21,46.53,6.0,0,59.1,0,55.43
303,9.42,24.16,5.3,0,58.7,0,55.43
304,12.48,44.52,4.4,0,64.3,0,55.43
305,9.54,38.48,3.7,0,68.4,0,55.43
306,10.89,34.79,3.4,0,71.2,0,55.43
307,7.2,24.21,2.6,0,76.4,0,55.43
308,6.4,23.93,2.1,0,73.3,0,55.43
309,5.35,19.11,1.9,0,69.4,0,55.43
310,4.69,18.95,1.8,0,66.2,0,55.43
311,4.37,18.27,1.7,0,64.0,0,55.43
312,4.21,24.46,1.7,0,64.8,0,10.31
313,4.34,21.9,1.6,0,66.3,0,10.31
314,3.78,15.8,0.5,0,77.8,0,10.31
315,3.37,15.13,0.1,0,84.2,0,10.31
316,3.31,19.1,0.6,0,80.0,0,10.31
317,2.72,13.34,0.5,0,77.4,0,10.31
318,2.29,10.7,0.4,0,76.4,0,10.31
319,2.04,12.69,0.5,0,70.2,0,10.31
320,2.34,12.01,0.1,0,70.5,0,10.31
321,4.73,19.91,-0.1,0,74.1,0,10.31
322,6.06,21.77,0.2,0,71.2,0,10.31
323,5.36,15.69,0.7,0,64.3,0,10.31
324,4.77,17.49,0.6,0,63.3,0,10.31
325,5.44,21.36,0.4,0,63.7,0,10.31
326,4.2,15.5,0.6,0,59.3,0,10.31
327,3.31,14.63,1.1,0,54.7,0,10.31
328,5.3,28.85,0.3,0,61.8,0,10.31
329,7.22,35.93,0.1,0,67.7,0,10.31
330,3.29,19.84,-0.3,0,67.0,0,10.31
331,2.65,22.2,-0.5,0,64.2,0,10.31
332,3.22,22.51,-0.9,0,64.5,0,10.31
333,2.4,19.75,-0.8,0,64.2,0,10.31
334,2.55,20.83,-0.6,0,63.7,0,10.31
335,2.0,16.46,-1.1,0,70.4,0,10.31
336,1.43,12.57,-1.1,0,68.2,0,16.88
337,1.01,10.85,-1.2,0,65.9,0,16.88
338,0.81,12.38,-1.3,0,63.0,0,16.88
339,0.58,10.12,-1.2,0,62.5,0,16.88
340,0.48,10.11,-1.4,0,64.5,0,16.88
341,0.11,9.77,-1.6,0,66.5,0,16.88
342,0.1,9.1,-1.7,0,65.0,0,16.88
343,0.03,9.46,-1.8,0,63.8,0,16.88
344,0.26,8.68,-1.9,0,64.2,0,16.88
345,1.17,9.82,-1.3,0,64.8,0,16.88
346,1.34,8.07,-1.1,0,62.3,0,16.88
347,2.62,10.63,-1.6,0,69.8,0,16.88
348,2.48,9.01,-1.2,0,62.9,0,16.88
349,3.31,10.45,-1.3,0,61.0,0,16.88
350,2.75,11.56,-1.7,0,62.2,0,16.88
351,2.45,13.1,-1.6,0,59.9,0,16.88
352,1.73,15.37,-2.5,0,65.9,0,16.88
353,5.33,17.68,-3.1,0,68.7,0,16.88
354,1.63,20.64,-3.5,0,67.9,0,16.88
355,1.39,21.65,-3.7,0,64.2,0,16.88
356,2.26,27.78,-4.2,0,66.0,0,16.88
357,1.37,18.11,-4.1,0,66.8,0,16.88
358,0.86,13.25,-3.8,0,68.9,0,16.88
359,1.49,12.18,-4.0,0,73.5,0,16.88
360,0.11,8.5,-4.1,0,75.2,0,22.27
361,0.02,5.58,-4.1,0,75.0,0,22.27
362,0.0,5.25,-4.3,0,77.1,0,22.27
363,0.0,4.88,-4.4,0,75.3,0,22.27
364,0.0,7.76,-4.7,0,71.6,0,22.27
365,0.0,10.05,-4.7,0,71.7,0,22.27
366,0.0,9.43,-4.4,0,68.2,0,22.27
367,0.65,17.33,-4.4,0,69.3,0,22.27
368,3.39,24.37,-4.4,0,70.5,0,22.27
369,5.08,18.69,-2.9,0,63.4,0,22.27
370,3.66,14.56,-3.1,0,61.4,0,22.27
371,3.63,12.75,-3.3,0,61.0,0,22.27
372,3.06,9.04,-2.7,0,57.2,0,22.27
373,2.94,8.89,-2.8,0,56.3,0,22.27
374,3.23,11.99,-2.9,0,56.1,0,22.27
375,3.46,14.25,-2.6,0,54.1,0,22.27
376,2.69,18.71,-3.6,0,58.8,0,22.27
377,3.75,28.97,-4.4,0,65.2,0,22.27
378,5.28,35.16,-4.9,0,65.8,0,22.27
379,5.23,34.3,-5.2,0,66.0,0,22.27
380,2.75,27.57,-5.5,0,66.4,0,22.27
381,2.28,26.12,-5.7,0,65.6,0,22.27
382,1.34,23.17,-5.8,0,65.3,0,22.27
383,1.09,22.46,-5.5,0,64.3,0,22.27
384,0.23,13.33,-5.1,0,64.4,0,38.89
385,0.13,11.62,-4.9,0,68.1,0,38.89
386,1.03,15.2,-5.2,0,73.9,0,38.89
387,2.22,18.89,-5.8,0,79.5,0,38.89
388,0.27,11.56,-5.0,0,73.9,0,38.89
389,0.01,9.32,-4.7,0,65.3,0,38.89
390,0.0,13.58,-4.6,0,64.5,0,38.89
391,1.05,22.76,-4.5,0,65.2,0,38.89
392,3.27,26.45,-4.5,0,66.7,0,38.89
393,3.09,17.25,-4.3,0,65.0,0,38.89
394,3.04,12.97,-3.5,0,63.2,0,38.89
395,3.68,12.41,-2.9,0,61.3,0,38.89
396,3.31,11.46,-2.7,0,57.1,0,38.89
397,4.17,14.88,-2.2,0,54.7,0,38.89
398,3.71,16.88,-3.3,0,60.6,0,38.89
399,11.44,34.14,-3.4,0,58.3,0,38.89
400,6.55,29.06,-3.4,0,61.4,0,38.89
401,5.64,29.96,-3.4,0,58.5,0,38.89
402,5.56,39.31,-3.6,0,56.7,0,38.89
403,2.6,34.52,-3.8,0,55.9,0,38.89
404,14.72,45.57,-3.8,0,56.1,0,38.89
405,60.14,57.57,-4.8,0,64.5,0,38.89
406,63.81,51.04,-5.3,0,70.2,0,38.89
407,64.67,54.08,-5.1,0,71.8,0,38.89
408,39.25,48.0,-5.0,0,72.0,0,37.51
409,20.52,40.26,-5.0,0,74.0,0,37.51
410,11.23,32.13,-4.9,0,77.2,0,37.51
411,10.65,26.16,-4.9,0,80.0,0,37.51
412,15.19,23.59,-5.0,0,81.9,0,37.51
413,16.45,30.38,-4.7,0,82.8,0,37.51
414,26.48,34.06,-4.6,0,84.4,0,37.51
415,13.88,43.44,-4.0,0,84.9,0,37.51
416,17.24,46.78,-3.6,0,86.3,0,37.51
417,12.36,29.47,-2.6,0,86.0,0,37.51
418,8.86,18.3,-0.5,0,71.9,0,37.51
419,8.02,18.12,0.8,0,60.4,0,37.51
420,6.11,15.51,0.6,0,52.9,0,37.51
422,4.76,14.52,0.3,0,52.2,0,37.51
423,4.36,14.81,-0.5,0,51.2,0,37.51
424,6.32,29.52,-1.6,0,57.2,0,37.51
425,6.99,39.48,-2.0,0,60.3,0,37.51
426,6.04,37.34,-2.1,0,60.3,0,37.51
427,5.7,33.09,-2.0,0,63.4,0,37.51
428,3.54,27.44,-2.0,0,66.2,0,37.51
429,2.05,16.95,-2.1,0,66.8,0,37.51
430,1.93,17.45,-2.1,0,65.2,0,37.51
431,4.82,27.76,-2.7,0,67.0,0,37.51
432,18.37,40.32,-3.7,0,71.1,0,71.43
433,22.67,36.76,-4.1,0,75.0,0,71.43
434,7.58,31.1,-4.2,0,77.8,0,71.43
435,3.93,20.44,-4.3,0,77.6,0,71.43
436,13.44,30.39,-4.4,0,78.8,0,71.43
437,43.69,38.77,-4.4,0,79.5,0,71.43
438,81.38,46.85,-4.1,0,80.8,0,71.43
439,97.22,50.31,-3.8,0,81.1,0,71.43
440,96.31,55.39,-3.0,0,80.9,0,71.43
441,75.61,53.66,-2.0,0,77.7,0,71.43
442,64.1,43.68,0.3,0,69.7,0,71.43
443,42.61,36.65,2.7,0,58.7,0,71.43
444,7.26,17.1,3.2,0,51.7,0,71.43
445,9.45,21.02,4.5,0,47.6,0,71.43
446,19.94,32.76,4.6,0,46.3,0,71.43
447,78.92,70.16,3.4,0,54.9,0,71.43
448,88.92,74.4,3.1,0,57.3,0,71.43
449,127.37,85.85,1.5,0,63.5,0,71.43
450,279.08,109.85,-0.4,0,70.0,0,71.43
451,343.4,114.81,-1.5,0,75.1,0,71.43
452,375.51,104.95,-2.1,0,78.4,0,71.43
453,347.19,92.55,-2.0,0,79.9,0,71.43
454,249.72,73.37,-1.7,0,76.7,0,71.43
455,226.11,70.09,-1.7,0,78.3,0,71.43
456,145.55,61.96,-0.9,0,75.2,0,77.45
457,65.4,53.34,-0.5,0,71.4,0,77.45
458,41.79,47.14,-0.4,0,70.6,0,77.45
459,37.03,44.14,-0.3,0,71.3,0,77.45
460,30.41,40.61,0.2,0,71.1,0,77.45
461,73.89,49.42,-0.3,0,72.8,0,77.45
462,80.61,54.84,0.0,0,73.2,0,77.45
463,93.36,62.37,0.4,0,70.6,0,77.45
464,142.86,73.48,1.1,0,67.8,0,77.45
465,161.9,86.17,2.0,0,65.9,0,77.45
