,NO,NO2,AirTemp,Press,UMR,O3,PM10
178,4.05,18.22,0.5,948.0,69.7,44.34,27.03
179,3.59,15.53,2.4,948.0,65.0,44.34,27.03
180,2.44,14.19,3.0,947.0,64.2,44.34,27.03
181,2.75,16.7,2.5,946.0,65.5,44.34,27.03
182,2.41,18.9,1.6,946.0,71.1,44.34,27.03
183,2.9,22.25,1.1,946.0,74.6,44.34,27.03
184,1.42,26.91,0.2,947.0,78.4,44.34,27.03
185,1.23,35.92,-0.4,947.0,83.2,44.34,27.03
186,1.07,40.42,-0.6,947.0,86.2,44.34,27.03
187,0.63,28.91,0.2,947.0,82.0,44.34,27.03
188,0.35,36.92,0.2,947.0,81.7,44.34,27.03
189,0.02,39.83,-0.1,947.0,86.2,44.34,27.03
190,1.71,43.35,-0.6,947.0,90.7,44.34,27.03
191,1.75,48.07,-0.7,947.0,91.7,44.34,27.03
192,0.17,33.93,-0.7,947.0,91.2,33.17,19.76
193,0.0,23.64,-0.5,946.0,89.7,33.17,19.76
195,0.0,8.72,-0.4,947.0,87.9,33.17,19.76
196,0.01,12.75,-0.7,947.0,91.7,33.17,19.76
197,0.0,21.0,-0.9,948.0,92.2,33.17,19.76
198,0.77,29.55,-0.9,948.0,90.5,33.17,19.76
199,5.33,40.32,-1.1,949.0,92.0,33.17,19.76
200,10.26,42.15,-0.9,950.0,90.8,33.17,19.76
201,4.68,29.12,-0.3,951.0,85.2,33.17,19.76
202,4.41,22.98,0.1,951.0,82.3,33.17,19.76
203,3.36,20.56,0.6,951.0,79.9,33.17,19.76
204,2.56,17.13,0.9,951.0,77.5,33.17,19.76
205,1.77,15.95,1.6,951.0,73.4,33.17,19.76
207,3.73,19.42,1.7,952.0,74.6,33.17,19.76
208,1.51,33.04,0.5,953.0,85.8,33.17,19.76
209,5.82,48.22,0.4,954.0,87.8,33.17,19.76
210,6.61,52.2,0.5,954.0,87.3,33.17,19.76
211,2.8,40.98,0.3,955.0,87.1,33.17,19.76
212,0.48,28.21,0.0,956.0,88.4,33.17,19.76
213,0.06,28.02,0.0,956.0,88.1,33.17,19.76
214,0.24,19.73,0.0,957.0,87.7,33.17,19.76
215,0.23,15.45,-0.1,957.0,86.4,33.17,19.76
216,0.0,12.93,-0.1,957.0,85.8,40.39,21.53
217,0.0,9.97,-0.1,957.0,84.8,40.39,21.53
219,0.0,6.88,-0.1,958.0,84.1,40.39,21.53
220,0.0,15.56,-0.2,957.0,83.5,40.39,21.53
221,0.0,16.39,-0.3,958.0,83.5,40.39,21.53
222,0.0,20.39,-0.3,958.0,83.6,40.39,21.53
223,3.09,37.24,-0.4,958.0,83.9,40.39,21.53
224,15.34,54.25,0.1,958.0,81.4,40.39,21.53
225,6.11,30.92,0.7,959.0,78.3,40.39,21.53
226,2.63,23.49,1.0,959.0,77.5,40.39,21.53
227,2.2,21.25,1.1,959.0,77.1,40.39,21.53
228,0.99,16.2,1.6,958.0,74.6,40.39,21.53
229,1.95,19.7,2.0,958.0,72.8,40.39,21.53
231,2.95,19.0,1.5,958.0,74.2,40.39,21.53
232,8.93,37.52,1.0,959.0,78.3,40.39,21.53
233,8.68,44.28,0.5,959.0,81.7,40.39,21.53
234,12.85,46.66,0.4,960.0,82.1,40.39,21.53
235,5.3,31.27,0.3,960.0,81.5,40.39,21.53
236,3.32,17.88,-0.1,961.0,82.1,40.39,21.53
237,3.3,18.31,-0.3,962.0,80.7,40.39,21.53
238,2.91,16.01,-0.5,962.0,79.9,40.39,21.53
239,2.43,14.39,-1.1,962.0,78.7,40.39,21.53
240,3.19,20.09,-1.5,962.0,79.7,36.43,27.95
241,2.28,10.33,-1.7,962.0,82.1,36.43,27.95
243,2.03,4.93,-1.4,962.0,83.0,36.43,27.95
244,2.5,15.33,-1.6,962.0,83.5,36.43,27.95
245,2.65,20.96,-1.7,962.0,84.0,36.43,27.95
246,3.02,24.69,-1.7,963.0,84.9,36.43,27.95
247,11.55,40.28,-1.5,963.0,84.1,36.43,27.95
248,15.58,40.24,-1.2,964.0,83.1,36.43,27.95
249,9.64,25.01,-0.8,964.0,80.9,36.43,27.95
250,6.64,15.62,-0.2,965.0,76.4,36.43,27.95
251,7.35,12.85,1.9,965.0,67.2,36.43,27.95
252,6.75,12.89,2.5,964.0,64.3,36.43,27.95
253,6.57,14.36,3.8,964.0,59.2,36.43,27.95
254,4.69,12.12,3.8,964.0,58.6,36.43,27.95
255,4.52,22.13,1.3,964.0,68.9,36.43,27.95
256,10.3,40.47,0.8,965.0,71.0,36.43,27.95
257,25.95,74.8,-0.5,965.0,76.7,36.43,27.95
258,36.53,77.33,-1.2,965.0,79.7,36.43,27.95
259,18.53,61.81,-1.7,966.0,82.9,36.43,27.95
260,10.85,49.6,-1.7,966.0,83.8,36.43,27.95
261,5.66,42.28,-2.0,966.0,84.5,36.43,27.95
262,4.75,29.96,-2.1,966.0,86.8,36.43,27.95
263,2.76,13.96,-1.3,966.0,88.1,36.43,27.95
264,2.5,9.79,-0.6,966.0,85.7,33.74,30.52
265,2.89,17.29,-0.3,965.0,84.2,33.74,30.52
267,1.71,5.15,-0.2,966.0,82.1,33.74,30.52
